Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
windowedAverage,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.993750762939,-2.0,0,3025,0,403,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.993750762939,-271.004325497,372,949,2599,101,4730
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.993750762939,-1433.26419033,1580,0,13501,0,15831
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.993750762939,-443.969639288,790,9252,4268,798,15858
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.993750762939,-1333.16271048,1593,1000,12559,0,15902
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.993750762939,-318.787567555,402,0,3026,0,4032
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.993750762939,-1435.39603749,1587,0,13514,0,15851
windowedAverage,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.993750762939,-170.777225974,217,0,1621,0,2162
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.993750762939,-196.021539688,249,0,1876,0,2500
windowedAverage,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.993750762939,-327.956069943,346,0,3082,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.993750762939,-319.544561041,403,0,3025,0,4032
windowedAverage,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.993750762939,-2.0,0,1218,0,163,1624
windowedAverage,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.993750762939,-377.08,0,0,3428,0,4032
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.993750762939,-373.889124919,474,0,3547,0,4730
windowedAverage,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.993750762939,-97.0192628027,126,0,931,0,1243
windowedAverage,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.993750762939,-1435.03237119,1582,0,13501,0,15833
Totals,,,,-26112.2067486,28025,54561,244786,5470,365558
