Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.993750762939,-639.57513511,402,0,3026,0,4032
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.993750762939,-2873.79207498,1587,0,13514,0,15851
windowedAverage,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.993750762939,-342.554451947,217,0,1621,0,2162
windowedAverage,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.993750762939,-754.16,0,0,3428,0,4032
windowedAverage,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.993750762939,-395.043079376,249,0,1876,0,2500
windowedAverage,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.993750762939,-658.912139887,346,0,3082,0,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.993750762939,-640.089122082,403,0,3025,0,4032
windowedAverage,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.993750762939,-1.0,0,1218,0,163,1624
windowedAverage,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.993750762939,-754.16,0,0,3428,0,4032
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.993750762939,-749.778249838,474,0,3547,0,4730
windowedAverage,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.993750762939,-196.038525605,126,0,931,0,1243
windowedAverage,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.993750762939,-2872.06474238,1582,0,13501,0,15833
Totals,,,,-52247.5335491,28025,54561,244786,5470,365558
